Statut;Coordonnées géographiques;Geo Shape
En exploitation;42.30574057265651, 9.154616266745009;"{""coordinates"": [[9.1548124, 42.3055555], [9.1547737, 42.3056417], [9.1546427, 42.3057253], [9.1544819, 42.305836], [9.1543914, 42.3058991], [9.1543894, 42.3059011]], ""type"": ""LineString""}"
En exploitation;42.305953292246315, 9.154337042258716;"{""coordinates"": [[9.1543894, 42.3059011], [9.1542955, 42.3059947], [9.1542847, 42.3060055]], ""type"": ""LineString""}"
En exploitation;42.30530943512343, 9.155057276855445;"{""coordinates"": [[9.1547923, 42.3052373], [9.1548234, 42.305237], [9.154863, 42.3052545], [9.1549791, 42.3053154], [9.1551011, 42.3053533], [9.1551852, 42.3053428], [9.1553074, 42.3053022], [9.1553083, 42.3053104], [9.1553098, 42.3053238]], ""type"": ""LineString""}"
En exploitation;42.30539251814736, 9.154808677855407;"{""coordinates"": [[9.1548124, 42.3055555], [9.1548337, 42.3055025], [9.1548203, 42.3053889], [9.1547768, 42.3052895], [9.1547753, 42.3052543], [9.1547869, 42.3052374], [9.1547923, 42.3052373]], ""type"": ""LineString""}"
En exploitation;42.31220981479717, 9.150591576260588;"{""coordinates"": [[9.1509725, 42.3127793], [9.1508135, 42.3125583], [9.1507126, 42.3124108], [9.1505776, 42.3121749], [9.1505066, 42.3120708], [9.150426, 42.3119541], [9.1503707, 42.3118706], [9.1502955, 42.3117595], [9.1502154, 42.3116369]], ""type"": ""LineString""}"
En exploitation;42.31328860409791, 9.151513265904192;"{""coordinates"": [[9.1509966, 42.3127778], [9.1510214, 42.3128264], [9.1510511, 42.3128544], [9.1511096, 42.3129106], [9.1511993, 42.3129874], [9.1515136, 42.3132262], [9.1517047, 42.3133738], [9.1517594, 42.3134185], [9.151774, 42.3134311], [9.1518102, 42.3134723], [9.1518197, 42.3134934], [9.1518251, 42.3135094], [9.1518266, 42.3135228], [9.1518269, 42.3135373], [9.1518242, 42.3135581], [9.1518181, 42.3135802], [9.1518095, 42.3136015], [9.1518016, 42.3136291], [9.1517897, 42.3136768], [9.151778, 42.313738], [9.1517794, 42.3137514], [9.1517839, 42.313771], [9.1517911, 42.3137913], [9.1518001, 42.313808], [9.15181, 42.31382], [9.1518196, 42.3138303], [9.1518271, 42.3138325], [9.1518403, 42.3138308], [9.151855, 42.3138289], [9.1518631, 42.3138277], [9.1518728, 42.3138262]], ""type"": ""LineString""}"
En exploitation;42.30974660176518, 9.150520543535741;"{""coordinates"": [[9.1497431, 42.309582], [9.1499623, 42.3095731], [9.1503302, 42.3095549], [9.1503628, 42.309553], [9.1503866, 42.3095479], [9.1503983, 42.3095427], [9.1504096, 42.3095349], [9.1504316, 42.3095245], [9.1504573, 42.3095148], [9.150493, 42.3095064], [9.1505579, 42.3094999], [9.1507057, 42.309482], [9.150754, 42.3094777], [9.1507705, 42.3095599], [9.1507871, 42.3096857], [9.1507446, 42.3098167], [9.1507669, 42.309948], [9.1508564, 42.3103492], [9.1509356, 42.3103294], [9.1509529, 42.3103251]], ""type"": ""LineString""}"
En exploitation;42.31329893236784, 9.15149625252914;"{""coordinates"": [[9.1509725, 42.3127793], [9.1509961, 42.3128288], [9.1510367, 42.3128679], [9.1511194, 42.3129452], [9.1513159, 42.313098], [9.1516023, 42.3133167], [9.1517206, 42.3134081], [9.1517674, 42.3134468], [9.1517931, 42.3134724], [9.1518028, 42.3134935], [9.1518095, 42.313522], [9.1518064, 42.3135511], [9.1517965, 42.3135833], [9.1517859, 42.3136084], [9.1517827, 42.3136229], [9.1517701, 42.3136761], [9.1517603, 42.3137327], [9.1517585, 42.3137499], [9.1517611, 42.3137624], [9.1517735, 42.313787], [9.1517942, 42.3138209], [9.1518016, 42.3138323], [9.1518118, 42.313838], [9.1518255, 42.3138399], [9.1518422, 42.313837], [9.151857, 42.3138335], [9.1518611, 42.3138324], [9.1518739, 42.3138285]], ""type"": ""LineString""}"
En exploitation;42.31197405499392, 9.149864155657493;"{""coordinates"": [[9.1502154, 42.3116369], [9.1501616, 42.311567], [9.1501362, 42.3115296], [9.1501209, 42.3115125], [9.1501069, 42.311507], [9.1500863, 42.3115073], [9.1500565, 42.3115127], [9.1500293, 42.3115197], [9.1500059, 42.3115293], [9.1499868, 42.3115439], [9.1499542, 42.3115875], [9.1499434, 42.311626], [9.14994, 42.3117094], [9.1499294, 42.3118334], [9.1498673, 42.3119196], [9.149805, 42.3121044], [9.1496389, 42.312479], [9.1495836, 42.312622]], ""type"": ""LineString""}"
En exploitation;42.311928150624524, 9.150743706576586;"{""coordinates"": [[9.1507005, 42.3119392], [9.1507547, 42.3119219], [9.1507657, 42.3119212], [9.1507738, 42.3119218], [9.1507835, 42.3119332]], ""type"": ""LineString""}"
En exploitation;42.313201773253446, 9.149515221028988;"{""coordinates"": [[9.1495836, 42.312622], [9.1495498, 42.3127596], [9.1494743, 42.3129862], [9.1494531, 42.3130371], [9.1494385, 42.3130714], [9.1494317, 42.3131098], [9.1494322, 42.3131603], [9.1494367, 42.313179], [9.1494542, 42.3132385], [9.149531, 42.3134896], [9.1495766, 42.3136404], [9.149607, 42.3137425], [9.1496099, 42.3137694], [9.149609, 42.313783]], ""type"": ""LineString""}"
En exploitation;42.314068680687924, 9.149599987542278;"{""coordinates"": [[9.149609, 42.313783], [9.1496151, 42.3138522], [9.1496146, 42.3139262], [9.1496108, 42.314015], [9.1495964, 42.314163], [9.1495852, 42.3142287], [9.1495751, 42.3142717], [9.1495611, 42.3143096], [9.1495804, 42.3143085], [9.1495877, 42.3143154], [9.1495989, 42.3143259]], ""type"": ""LineString""}"
En exploitation;42.31229395522624, 9.150718107594424;"{""coordinates"": [[9.1509966, 42.3127778], [9.1507928, 42.3124963], [9.1507248, 42.3123857], [9.1506663, 42.3122826], [9.1506037, 42.3121761], [9.1505479, 42.3120873], [9.1505097, 42.3120175], [9.1505113, 42.3120102], [9.1505092, 42.3120063], [9.1505254, 42.3119981], [9.1505534, 42.3119874], [9.1507451, 42.3119263], [9.1507549, 42.3119248], [9.1507667, 42.3119244], [9.1507761, 42.3119357]], ""type"": ""LineString""}"
En exploitation;42.31631382901553, 9.148202096056677;"{""coordinates"": [[9.1481531, 42.3159777], [9.148145, 42.3160408], [9.1481481, 42.3160829], [9.1481762, 42.3162205], [9.1482327, 42.3163615], [9.1482377, 42.3164569], [9.1482232, 42.3165787], [9.1482772, 42.3166078], [9.1482921, 42.3166154]], ""type"": ""LineString""}"
En exploitation;42.318011951115295, 9.147416372364978;"{""coordinates"": [[9.1480847, 42.3170456], [9.147793, 42.3173147], [9.1474506, 42.3176385], [9.1474258, 42.3177249], [9.1473907, 42.3179302], [9.1473075, 42.3181979], [9.1473084, 42.3183523], [9.1471239, 42.3185032], [9.1469666, 42.3187553], [9.1472477, 42.3189625], [9.147265, 42.3189667]], ""type"": ""LineString""}"
En exploitation;42.31507417938607, 9.148745828741216;"{""coordinates"": [[9.1481531, 42.3159777], [9.1481733, 42.3159366], [9.1482892, 42.3157394], [9.1483061, 42.3156784], [9.1482921, 42.3155723], [9.1482935, 42.3154964], [9.1482961, 42.3154285], [9.1483155, 42.3153388], [9.1483303, 42.3152828], [9.1483459, 42.3152584], [9.1483724, 42.3152343], [9.1484195, 42.315208], [9.1485787, 42.3151184], [9.1486229, 42.3150878], [9.1487099, 42.315014], [9.1488325, 42.3149123], [9.1489325, 42.3148295], [9.1490288, 42.314754], [9.1491689, 42.3146562], [9.1492654, 42.3145918], [9.1493356, 42.3145443], [9.1494022, 42.3144961], [9.1494551, 42.3144559], [9.1495114, 42.3144029], [9.149549, 42.3143456], [9.1495638, 42.3143474], [9.1495755, 42.3143446], [9.149593, 42.3143406]], ""type"": ""LineString""}"
En exploitation;42.318332555645746, 9.147303969624035;"{""coordinates"": [[9.1474866, 42.3176224], [9.147398, 42.3181055], [9.1473487, 42.3182309], [9.1473691, 42.3182847], [9.1473534, 42.3183846], [9.1471806, 42.3185224], [9.1470703, 42.3187206], [9.1472666, 42.3188996], [9.147287, 42.3189442], [9.1472846, 42.3189575]], ""type"": ""LineString""}"
