Statut;Coordonnées géographiques;Geo Shape
En exploitation;42.1023723, 9.5128582;"{""coordinates"": [[9.5128582, 42.1023723]], ""type"": ""MultiPoint""}"
En exploitation;42.7015423, 9.4442843;"{""coordinates"": [[9.4442843, 42.7015423]], ""type"": ""MultiPoint""}"
En exploitation;41.9503064, 8.8052371;"{""coordinates"": [[8.8052371, 41.9503064]], ""type"": ""MultiPoint""}"
En exploitation;42.6263307, 8.9371382;"{""coordinates"": [[8.9371382, 42.6263307]], ""type"": ""MultiPoint""}"
En exploitation;42.4556444, 9.2139174;"{""coordinates"": [[9.2139174, 42.4556444]], ""type"": ""MultiPoint""}"
En exploitation;41.9455948, 8.9349867;"{""coordinates"": [[8.9349867, 41.9455948]], ""type"": ""MultiPoint""}"
En exploitation;42.1233026, 8.7040442;"{""coordinates"": [[8.7040442, 42.1233026]], ""type"": ""MultiPoint""}"
En exploitation;41.6998988, 9.3366794;"{""coordinates"": [[9.3366794, 41.6998988]], ""type"": ""MultiPoint""}"
En exploitation;42.1804144, 9.4202417;"{""coordinates"": [[9.4202417, 42.1804144]], ""type"": ""MultiPoint""}"
En exploitation;41.9307993, 8.7561783;"{""coordinates"": [[8.7561783, 41.9307993]], ""type"": ""MultiPoint""}"
En exploitation;42.5608172, 8.7470028;"{""coordinates"": [[8.7470028, 42.5608172]], ""type"": ""MultiPoint""}"
En exploitation;42.6599068, 9.3290355;"{""coordinates"": [[9.3290355, 42.6599068]], ""type"": ""MultiPoint""}"
En exploitation;42.6023863, 9.4211924;"{""coordinates"": [[9.4211924, 42.6023863]], ""type"": ""MultiPoint""}"
En exploitation;41.7037541, 9.0467937;"{""coordinates"": [[9.0467937, 41.7037541]], ""type"": ""MultiPoint""}"
En exploitation;41.9324242, 8.7170882;"{""coordinates"": [[8.7170882, 41.9324242]], ""type"": ""MultiPoint""}"
En exploitation;41.4249791, 9.1875812;"{""coordinates"": [[9.1875812, 41.4249791]], ""type"": ""MultiPoint""}"
En exploitation;42.3146994, 9.5397219;"{""coordinates"": [[9.5397219, 42.3146994]], ""type"": ""MultiPoint""}"
En exploitation;42.3012228, 9.1662543;"{""coordinates"": [[9.1662543, 42.3012228]], ""type"": ""MultiPoint""}"
En exploitation;42.6641064, 9.4246828;"{""coordinates"": [[9.4246828, 42.6641064]], ""type"": ""MultiPoint""}"
En exploitation;42.0654415, 9.3706774;"{""coordinates"": [[9.3706774, 42.0654415]], ""type"": ""MultiPoint""}"
En exploitation;41.816148, 8.7847045;"{""coordinates"": [[8.7847045, 41.816148]], ""type"": ""MultiPoint""}"
En exploitation;41.5902467, 9.2669328;"{""coordinates"": [[9.2669328, 41.5902467]], ""type"": ""MultiPoint""}"
En exploitation;41.6621132, 8.9175314;"{""coordinates"": [[8.9175314, 41.6621132]], ""type"": ""MultiPoint""}"
En exploitation;42.8070443, 9.4786304;"{""coordinates"": [[9.4786304, 42.8070443]], ""type"": ""MultiPoint""}"
En exploitation;41.8809235, 8.9736205;"{""coordinates"": [[8.9736205, 41.8809235]], ""type"": ""MultiPoint""}"
En exploitation;42.440479, 9.5023231;"{""coordinates"": [[9.5023231, 42.440479]], ""type"": ""MultiPoint""}"
En exploitation;42.3427162, 9.044208;"{""coordinates"": [[9.044208, 42.3427162]], ""type"": ""MultiPoint""}"
En exploitation;42.5270114, 9.4475169;"{""coordinates"": [[9.4475169, 42.5270114]], ""type"": ""MultiPoint""}"
En exploitation;41.9268108, 9.3701545;"{""coordinates"": [[9.3701545, 41.9268108]], ""type"": ""MultiPoint""}"
